protein_id,arm,tier,n_designs,burden_all,burden_tier2,nod_hotspot_q90_mean,d3_hotspot_q90_mean,delta_hotspot_q90_mean,hotspot_q90_improved_designs,nod_hotspot_q95_mean,d3_hotspot_q95_mean,delta_hotspot_q95_mean,hotspot_q95_improved_designs,nod_hotspot_q99_mean,d3_hotspot_q99_mean,delta_hotspot_q99_mean,hotspot_q99_improved_designs,nod_hotspot_max_mean,d3_hotspot_max_mean,delta_hotspot_max_mean,hotspot_max_improved_designs,nod_hotspot_gt0p5_count_mean,d3_hotspot_gt0p5_count_mean,delta_hotspot_gt0p5_count_mean,hotspot_gt0p5_count_improved_designs,nod_hotspot_gt1_count_mean,d3_hotspot_gt1_count_mean,delta_hotspot_gt1_count_mean,hotspot_gt1_count_improved_designs,nod_hotspot_positive_mass_mean,d3_hotspot_positive_mass_mean,delta_hotspot_positive_mass_mean,hotspot_positive_mass_improved_designs,nod_hotspot_excess_mass_gt0p5_mean,d3_hotspot_excess_mass_gt0p5_mean,delta_hotspot_excess_mass_gt0p5_mean,hotspot_excess_mass_gt0p5_improved_designs,nod_positive_mass_top10_fraction_mean,d3_positive_mass_top10_fraction_mean,delta_positive_mass_top10_fraction_mean,positive_mass_top10_fraction_improved_designs,nod_positive_mass_entropy_norm_mean,d3_positive_mass_entropy_norm_mean,delta_positive_mass_entropy_norm_mean,positive_mass_entropy_norm_improved_designs,nod_positive_mass_gini_mean,d3_positive_mass_gini_mean,delta_positive_mass_gini_mean,positive_mass_gini_improved_designs,nod_residue_z_q95_mean,d3_residue_z_q95_mean,delta_residue_z_q95_mean,residue_z_q95_improved_designs,nod_residue_z_max_mean,d3_residue_z_max_mean,delta_residue_z_max_mean,residue_z_max_improved_designs,nod_residue_z_gt1_count_mean,d3_residue_z_gt1_count_mean,delta_residue_z_gt1_count_mean,residue_z_gt1_count_improved_designs,nod_residue_z_gt2_count_mean,d3_residue_z_gt2_count_mean,delta_residue_z_gt2_count_mean,residue_z_gt2_count_improved_designs
1ZR3_A,t060,1,8,high,not_tier2,7.857563674449921,6.2301487028598785,-1.6274149715900421,5,12.96813289821148,10.669486492872238,-2.298646405339241,5,13.384869506955148,11.073746100068092,-2.311123406887055,5,13.61344701051712,11.317265093326569,-2.2961819171905518,5,76.875,67.0,-9.875,7,68.5,56.375,-12.125,6,436.72073262929916,321.1107104420662,-115.61002218723297,5,394.7291767001152,283.4158061146736,-111.31337058544159,5,0.5364773220385612,0.553027916114075,0.016550594075513757,4,0.7818007642570235,0.7584700968860548,-0.023330667370968686,6,0.7477904199038303,0.7664896731346038,0.018699253230773594,2,2.6555169094524977,2.4735429803800093,-0.18197392907248888,3,2.805761684941249,2.696280960375578,-0.10948072456567112,3,26.25,30.25,4.0,3,16.5,12.625,-3.875,5
2ERF_A,t060,1,8,low_or_equal,not_tier2,7.993945574760438,9.856245458126073,1.8622998833656341,3,10.206836366653443,11.797774505615234,1.5909381389617914,3,10.772750167846677,11.929300405979157,1.156550238132478,4,11.339582920074463,11.982194662094116,0.6426117420196533,4,77.875,79.875,2.0,3,69.75,73.625,3.875,2,432.2659704685211,556.9929436445236,124.7269731760025,4,387.74325680732727,512.3936570882797,124.65040028095245,4,0.4669919748874818,0.4875303279361462,0.020538353048664443,3,0.7888780712971228,0.7897476551609943,0.0008695838638714398,3,0.7377032515770955,0.7321859388778158,-0.005517312699279658,3,2.2997371392150714,2.258988628907707,-0.04074851030736479,3,2.694440863815408,2.2961550370578134,-0.39828582675759483,5,37.25,38.5,1.25,4,15.875,15.0,-0.875,4
2F7A_A,t060,2,8,low_or_equal,low_or_equal,7.22995808124544,6.379082691669486,-0.8508753895759538,4,10.353319084644275,8.44326827228069,-1.9100508123635833,5,11.509180387258528,8.705411879420279,-2.8037685078382486,6,11.950361609458923,9.024570226669312,-2.925791382789612,6,84.5,81.125,-3.375,3,70.25,73.5,3.25,3,418.0328623056412,378.0021707415581,-40.0306915640831,3,371.98927569389343,331.3028228878975,-40.68645280599594,3,0.5489829261504481,0.5012504351271632,-0.047732491023284904,5,0.7706976322968596,0.7866357743683823,0.015938142071522776,2,0.7716530516348705,0.7476548006652052,-0.02399825096966532,6,2.5540496868393214,2.3387856817277513,-0.2152640051115699,6,3.066410631789384,2.6254658404435074,-0.44094479134587605,5,33.0,39.0,6.0,5,17.875,17.375,-0.5,4
2O4T_A,t060,2,8,low_or_equal,low_or_equal,8.320213276147843,4.100286346673966,-4.2199269294738775,6,8.661969155073166,4.22038417160511,-4.441584983468056,7,9.17308318912983,4.424085004925728,-4.748998184204101,7,9.425971865653992,4.542522549629211,-4.88344931602478,7,31.875,25.875,-6.0,5,28.875,21.75,-7.125,5,224.248920917511,90.75011277198792,-133.49880814552307,6,205.42370414733887,73.65407407283783,-131.76963007450104,6,0.39165381241730285,0.40912574439748245,0.017471931980179586,3,0.7644266408686884,0.7616284431408623,-0.0027981977278261627,4,0.7042442432227907,0.7113163255201918,0.007072082297401083,4,1.7663105221604019,1.7588762517171017,-0.007434270443300278,5,2.181174312441728,2.1085583588466497,-0.0726159535950788,6,19.25,17.125,-2.125,4,1.5,4.75,3.25,1
2VXP_A,t060,1,8,high,not_tier2,7.394244432449341,7.293651103973389,-0.10059332847595215,5,7.526510179042816,7.388529300689697,-0.1379808783531189,5,7.785677188634871,7.502855730056762,-0.2828214585781095,5,8.073499917984009,7.633430898189545,-0.4400690197944641,5,55.0,48.5,-6.5,5,49.75,42.125,-7.625,4,264.03842175006866,239.83404022455215,-24.20438152551651,4,235.52106833457947,212.91703325510025,-22.604035079479218,4,0.4227336295896096,0.4407016809959269,0.01796805140631725,4,0.7853703206388645,0.7892539667237186,0.0038836460848539894,4,0.6970633356441166,0.7014597493099043,0.004396413665787663,3,1.8910341146779008,1.8705404015150964,-0.02049371316280474,5,2.1819737927165863,2.029525751546422,-0.152448041170164,4,29.125,26.25,-2.875,5,7.5,7.0,-0.5,3
3CYQ_D,t060,2,8,high,high,12.76180265545845,11.017094606161118,-1.7447080492973328,5,13.219018435478208,11.37294305562973,-1.84607537984848,5,13.994111229777335,12.051134801506995,-1.9429764282703406,5,14.358928918838501,12.424634337425232,-1.934294581413269,5,54.625,56.625,2.0,3,46.5,51.25,4.75,3,393.4256166815758,391.4619987010956,-1.963617980480194,4,364.4279935956001,361.8049216270447,-2.6230719685554504,4,0.4802527717509585,0.40712546027367974,-0.07312731147727872,6,0.7685181697359241,0.794080525476499,0.025562355740574874,2,0.7311552468125578,0.6935039644063431,-0.03765128240621485,6,2.0502620543985133,1.8267546217853061,-0.22350743261320757,5,2.279833098478475,2.132275457545258,-0.14755764093321677,5,21.875,27.875,6.0,2,12.625,4.875,-7.75,6
3IEZ_B,t060,2,8,low_or_equal,low_or_equal,5.790760171413423,6.024525022506714,0.2337648510932926,4,6.0629787147045135,6.424529474973678,0.3615507602691651,5,6.50529519557953,7.255586862564088,0.7502916669845587,4,6.735296905040741,7.765775561332703,1.0304786562919617,4,33.75,29.125,-4.625,5,26.0,24.0,-2.0,5,130.74170631170273,134.45705980062485,3.715353488922119,5,111.3121582865715,117.3842745423317,6.072116255760193,5,0.48465919596273144,0.5414701342298455,0.056810938267114024,3,0.7444430510175106,0.7231823613389374,-0.021260689678573197,5,0.7467830229862438,0.7591513241267642,0.012368301140520455,4,2.011222737739049,2.023040486887904,0.011817749148855028,3,2.283296270139813,2.9956530934295653,0.7123568232897518,3,16.75,16.375,-0.375,3,5.375,5.625,0.25,2
3Q80_B,t060,2,8,low_or_equal,low_or_equal,12.003246855735785,9.260595560073872,-2.742651295661912,8,14.58322861790657,13.342740935087203,-1.2404876828193667,5,15.049600530862806,13.842097023725508,-1.2075035071372981,4,15.623358845710754,14.399203777313232,-1.224155068397522,3,80.125,91.625,11.5,2,73.75,81.875,8.125,2,669.6368845701218,565.5151206254959,-104.12176394462585,7,624.7693696022034,516.1995024681091,-108.56986713409424,7,0.47702994115493164,0.5124478512733769,0.035417910118445216,3,0.778417313148227,0.7839238803694873,0.005506567221260222,4,0.7518149167118953,0.7496105925470598,-0.002204324164835486,3,2.2548706372236205,2.367262509339254,0.11239187211563348,3,2.463614941684675,2.6128740066020475,0.14925906491737276,2,38.375,37.5,-0.875,5,19.0,16.625,-2.375,4
3TYX_A,t060,2,8,high,low_or_equal,5.907476937770843,6.738516891002659,0.831039953231816,3,11.880240660905846,8.119276982545863,-3.760963678359983,6,13.845607595443726,11.02683240890503,-2.818775186538696,6,13.853754937648773,11.026867508888245,-2.8268874287605286,6,126.25,136.625,10.375,3,101.75,117.75,16.0,3,623.695974111557,641.5947098135948,17.89873570203781,4,553.3680758476257,568.3034889101982,14.93541306257248,4,0.6183915616174478,0.48670528323969053,-0.13168627837775726,6,0.7726832353391728,0.8095751006065555,0.03689186526738267,2,0.7911790361502866,0.7342964353406876,-0.05688260080959903,6,2.8284660709739686,2.0502880346333874,-0.7781780363405811,7,3.2716802812547603,2.9426360014109996,-0.3290442798437612,5,39.625,54.875,15.25,2,22.875,15.75,-7.125,8
4AC2_A,t060,2,8,low_or_equal,low_or_equal,6.2860217809677135,6.195204663276672,-0.09081711769104045,2,6.595402747392654,6.40700164437294,-0.1884011030197142,2,7.21028166770935,6.869359834194183,-0.340921833515167,3,7.604092240333557,7.234180986881256,-0.369911253452301,3,37.75,38.375,0.625,3,28.875,31.0,2.125,3,180.34775710105896,175.43701243400574,-4.910744667053223,3,157.6020497083664,152.18008518218994,-5.421964526176453,3,0.44720543265696483,0.4783723615191121,0.031166928862147315,2,0.7726081027321601,0.7760869195655156,0.0034788168333555747,5,0.7133267179791696,0.7166840803425576,0.003357362363387989,3,1.9568218152012542,1.988454288228404,0.03163247302715,2,2.5934716121220416,2.890906720572914,0.2974351084508723,4,23.875,18.375,-5.5,5,6.375,7.5,1.125,2
4BT7_A,t060,2,8,low_or_equal,low_or_equal,7.030103266239166,9.320504039525986,2.2904007732868195,3,11.606824308633804,14.26107907295227,2.654254764318466,2,12.368372854590417,14.923093801736833,2.554720947146415,2,12.567820429801941,14.974316596984863,2.4064961671829224,2,88.375,84.75,-3.625,7,75.0,77.625,2.625,5,461.02398377656937,617.3782828450203,156.35429906845093,2,412.02049690485,569.4486600756645,157.4281631708145,3,0.5663604268080532,0.52800140426315,-0.038359022544903226,4,0.7708676078557626,0.7758648492774796,0.00499724142171705,4,0.7764743169100868,0.7677391297684195,-0.00873518714166735,4,2.6596238670769,2.5859502560608103,-0.07367361101608916,5,3.0043113593367172,2.783988721328737,-0.22032263800797963,5,33.375,40.125,6.75,2,19.25,19.0,-0.25,2
4C9G_A,t060,2,8,high,high,14.213299918174744,13.273240613937379,-0.9400593042373662,4,15.271218466758725,16.003644418716426,0.7324259519577019,3,15.733559184074402,16.455478835105893,0.7219196510314934,3,15.756776928901672,16.530147433280945,0.7733705043792725,3,117.375,124.125,6.75,3,114.75,117.375,2.625,4,995.9243867397308,1072.1803911924362,76.25600445270538,3,935.5034552812576,1008.7548170089722,73.25136172771454,3,0.41636362171447133,0.39399745657117163,-0.022366165143299664,6,0.8185324717416835,0.8264868853434107,0.007954413601727134,3,0.7063276752008338,0.69038232939975,-0.015945345801083866,5,2.0997408099423587,2.137115242601789,0.03737443265943041,4,2.1891572170566826,2.2276937511445607,0.03853653408787777,5,56.25,60.375,4.125,3,13.125,12.375,-0.75,3
4HQ8_E,t060,2,8,low_or_equal,low_or_equal,6.532982140779506,4.322637861967098,-2.210344278812408,6,11.776633661985398,9.442524960637092,-2.3341087013483053,5,11.799388477802278,10.082099589109422,-1.7172888886928552,5,11.868351221084595,10.644760370254517,-1.2235908508300781,5,66.625,64.375,-2.25,5,52.125,51.125,-1.0,4,379.07560753822327,287.32025051116943,-91.75535702705383,4,338.3585580587387,247.77065789699554,-90.58790016174316,4,0.6561666256920395,0.6760729174418637,0.019906291749824105,4,0.7334268054279638,0.7316347044401719,-0.0017921009877918115,2,0.8013426582334767,0.804742366822282,0.003399708588805228,5,2.7594396244138855,2.9582650501447274,0.19882542573084225,4,2.803739243148323,3.5844139473734744,0.7806747042251516,1,30.25,24.25,-6.0,4,17.375,17.75,0.375,5
4ND3_B,t060,2,8,high,high,8.375297403335573,8.548360800743104,0.17306339740753218,4,11.8494023323059,10.117273497581468,-1.7321288347244335,6,12.955133385658264,11.56162986755371,-1.393503518104553,6,12.957796692848206,11.562471449375153,-1.395325243473053,6,124.375,129.875,5.5,3,111.125,114.875,3.75,3,711.6889955401421,732.6186788678169,20.929683327674866,5,643.2057715058327,663.154111802578,19.9483402967453,5,0.5114852695871925,0.4726729461961977,-0.03881232339099484,6,0.7978856986224121,0.8086235099344872,0.010737811312074977,3,0.7556640959124719,0.7330113428140652,-0.02265275309840653,6,2.470234431934095,2.2018696085178786,-0.2683648234162169,5,2.730809806974844,2.565839936348066,-0.16496987062677831,5,47.875,53.125,5.25,4,23.875,21.25,-2.625,4
4QYA_A,t060,2,8,low_or_equal,low_or_equal,9.805222898721695,8.167046338319778,-1.6381765604019165,6,10.241563946008682,8.420942023396492,-1.8206219226121902,6,11.017995125055311,8.89638701081276,-2.1216081142425534,6,11.46281611919403,9.233704626560211,-2.2291114926338196,6,41.375,46.125,4.75,3,33.75,36.75,3.0,4,237.84478449821472,227.3300497531891,-10.514734745025635,6,214.3286715745926,202.18185186386108,-12.146819710731506,6,0.559559077358127,0.4545830048264585,-0.10497607253166852,6,0.7264580457645088,0.7695260094479663,0.04306796368345754,2,0.7660963083674324,0.7210110930862157,-0.04508521528121681,6,2.2350353753114853,2.0202186767583328,-0.21481669855315258,5,2.7392276399749536,2.264541236690963,-0.47468640328399037,6,18.75,21.75,3.0,3,11.75,5.875,-5.875,5
4ZIE_A,t060,1,8,low_or_equal,not_tier2,8.905459976196294,11.686843776702887,2.7813838005065925,3,9.400973904132844,12.216546022891999,2.8155721187591554,2,9.410389266014098,12.228568363189698,2.818179097175598,2,9.414713084697723,12.233265995979309,2.8185529112815857,2,54.25,55.75,1.5,4,42.25,48.25,6.0,2,280.01123866438866,398.4504751563072,118.43923649191856,2,249.90843003988266,368.85587590932846,118.9474458694458,2,0.5423182351029412,0.506957567063334,-0.035360668039607225,3,0.7537624042899318,0.7550905388835958,0.00132813459366396,5,0.7605559857801131,0.7502371867767513,-0.010318799003361773,3,2.2589990667220095,2.17305375637521,-0.08594531034679956,4,2.261719043072153,2.1764718778099086,-0.08524716526224455,4,21.375,25.25,3.875,4,14.75,10.625,-4.125,5
5AL8_A,t060,2,8,high,high,8.625539600849152,11.593039453029633,2.967499852180481,3,9.030849322676659,12.071883633732796,3.041034311056137,3,9.710486203432083,12.91980618238449,3.209319978952408,3,10.144793570041656,13.466556549072266,3.321762979030609,3,47.375,40.25,-7.125,5,44.625,36.0,-8.625,5,258.1222714781761,292.3027165234089,34.18044504523277,4,232.8146213889122,268.3661203086376,35.55149891972542,4,0.4418458091077826,0.5076912843364687,0.06584547522868614,2,0.7778424812591186,0.737850478781299,-0.039992002477819796,7,0.7058739777998293,0.754105302129125,0.04823132432929572,1,1.9471599646893338,2.0911603739161295,0.1440004092267957,2,2.2615140174866903,2.406269835448258,0.14475581796156797,3,23.875,24.125,0.25,3,5.125,9.5,4.375,1
5HGJ_A,t060,1,8,high,not_tier2,13.709435665607465,11.856470006704342,-1.8529656589031243,6,15.14238772392273,12.945378011465072,-2.197009712457657,6,16.11125570654869,13.592533411979673,-2.5187222945690144,6,16.913347721099854,14.110883831977844,-2.8024638891220093,6,81.5,90.25,8.75,1,70.75,81.25,10.5,4,634.6197482943535,594.0573615431786,-40.56238675117493,5,590.8562880158424,547.5362538695335,-43.3200341463089,5,0.49596232031922227,0.4452943293755943,-0.05066799094362795,6,0.7865717535807757,0.8069822917627202,0.020410538181944465,2,0.7345234410789035,0.7064764713743585,-0.028046969704545094,6,2.2762207147681246,2.1153205480379267,-0.16090016673019797,6,2.604226301777878,2.34978421612745,-0.25444208565042836,6,32.875,36.625,3.75,3,16.375,12.75,-3.625,7
5I0L_A,t060,2,8,low_or_equal,low_or_equal,6.684134984016419,10.939200180768967,4.255065196752548,2,8.257985401153565,12.371688330173491,4.1137029290199285,1,8.35389174103737,12.590222331881522,4.236330590844155,1,8.38977861404419,12.675044476985931,4.285265862941742,1,58.25,60.75,2.5,4,55.25,51.625,-3.625,6,299.4481620192528,408.2409902215004,108.79282820224762,1,267.0698828101158,374.633115708828,107.56323289871216,1,0.46053406619886755,0.5093512190111835,0.048817152812315974,2,0.7776080267425562,0.7684814932072648,-0.009126533535291415,5,0.7286242375331112,0.7462334163012094,0.017609178768098116,3,2.1920945164785843,2.3655351502490714,0.17344063377048688,2,2.270405495942878,2.4342785794518758,0.16387308350899732,3,32.625,27.375,-5.25,5,8.75,14.5,5.75,1
5K69_A,t060,2,8,high,high,8.755311763286592,11.267977088689804,2.5126653254032107,2,13.623470583558085,14.952726119756699,1.3292555361986154,4,16.79378003001213,18.377789974212646,1.5840099442005158,2,16.793780088424683,18.377789974212646,1.5840098857879639,2,152.25,145.875,-6.375,5,139.625,140.125,0.5,5,1003.5327656269073,1068.7042914628983,65.1715258359909,4,923.9533027410507,990.1042844057083,66.15098166465759,4,0.5083919874720699,0.5183977864739349,0.01000579900186508,3,0.8101353551420282,0.8046579875729022,-0.005477367569126035,6,0.7369119466013598,0.7522757121271908,0.015363765525831019,3,2.239881607384792,2.2940973018789528,0.05421569449416069,3,2.923339236935621,2.975658598186855,0.05231936125123382,3,50.625,52.875,2.25,3,24.875,26.125,1.25,4
