protein_id,n_windows,n_pos,auc,ap,recall_50,recall_100,seq_len,n_positives
Q9HD45,8001,6,0.998686671257019,0.5438578923543295,1.0,1.0,589,6
Q9NPD3,3185,1,1.0,1.0,1.0,1.0,245,1
Q9NSA3,889,1,0.994369387626648,0.1666666716337204,1.0,1.0,81,1
Q9NZ52,9877,1,0.9968611001968384,0.03125,1.0,1.0,723,1
Q9NZ94,11627,2,0.997763454914093,0.06818182021379471,1.0,1.0,848,2
Q9P035,4823,1,0.8923683166503906,0.001923076924867928,0.0,0.0,362,1
Q9UIJ5,4893,1,0.9995911717414856,0.3333333432674408,1.0,1.0,367,1
Q9UMX0,8001,1,0.984000027179718,0.007751937955617905,0.0,0.0,589,1
Q9Y277,3717,4,0.999528706073761,0.7611111402511597,1.0,1.0,283,4
Q9Y5G8,12789,1,1.0,1.0,1.0,1.0,931,1
