protein_id,arm,tier,n_designs,burden_all,burden_tier2,nod_pp_hotspot_coverage,nod_hotspot_coverage_mean,d3_hotspot_coverage_mean,delta_hotspot_coverage_mean,delta_hotspot_coverage_median,hotspot_coverage_improved_designs,nod_n_hotspot_positions_mean,d3_n_hotspot_positions_mean,delta_n_hotspot_positions_mean,delta_n_hotspot_positions_median,n_hotspot_positions_improved_designs,nod_mean_hotspot_mean,d3_mean_hotspot_mean,delta_mean_hotspot_mean,delta_mean_hotspot_median,mean_hotspot_improved_designs,nod_max_hotspot_mean,d3_max_hotspot_mean,delta_max_hotspot_mean,delta_max_hotspot_median,max_hotspot_improved_designs,nod_n_strong_binders_mean,d3_n_strong_binders_mean,delta_n_strong_binders_mean,delta_n_strong_binders_median,n_strong_binders_improved_designs,nod_strong_per_100aa_mean,d3_strong_per_100aa_mean,delta_strong_per_100aa_mean,delta_strong_per_100aa_median,strong_per_100aa_improved_designs,nod_mean_best_rank_mean,d3_mean_best_rank_mean,delta_mean_best_rank_mean,delta_mean_best_rank_median,mean_best_rank_improved_designs,nod_scTM_mean,d3_scTM_mean,delta_scTM_mean,delta_scTM_median,scTM_improved_designs,nod_bb_RMSD_mean,d3_bb_RMSD_mean,delta_bb_RMSD_mean,delta_bb_RMSD_median,bb_RMSD_improved_designs,nod_recovery_mean,d3_recovery_mean,delta_recovery_mean,delta_recovery_median,recovery_improved_designs,hotspot_coverage_over_intervention_designs,scTM_preserved_designs_delta_ge_minus_0p05,scTM_drop_designs_delta_lt_minus_0p05
1ZR3_A,t060,1,8,high,not_tier2,0.4133064516129032,0.4133064516129032,0.3602150537634409,-0.053091397849462346,-0.06182795698924731,7,76.875,67.0,-9.875,-11.5,7,2.0174623876810074,1.2693483456969261,-0.7481140419840813,-0.7437854111194611,6,13.61344701051712,11.317265093326569,-2.2961819171905518,-1.8508849143981934,5,27.125,27.375,0.25,5.5,4,14.583333333333332,14.717741935483872,0.13440860215053796,2.956989247311828,4,0.6755000000000001,0.52475,-0.15075,-0.025999999999999995,4,0.982205,0.982245,3.999999999999837e-05,0.001615000000000033,4,0.7137500000000001,0.7075,-0.006249999999999978,-0.02999999999999997,4,0.5369623655913978,0.5443548387096774,0.007392473118279577,0.005376344086021501,5,1,8,0
2ERF_A,t060,1,8,low_or_equal,not_tier2,0.37260765550239233,0.3726076555023924,0.382177033492823,0.009569377990430634,0.019138755980861233,3,77.875,79.875,2.0,4.0,3,1.798126194626093,2.003027436323464,0.204901241697371,-0.6093312203884125,5,11.339582920074463,11.982194662094116,0.6426117420196533,0.3313889503479004,4,42.5,73.0,30.5,46.5,3,20.334928229665074,34.92822966507177,14.593301435406698,22.248803827751193,3,0.48450000000000004,0.23199999999999998,-0.2525,-0.1450000000000001,4,0.95364625,0.9532025,-0.00044375000000000664,0.0002449999999999952,4,1.5325,1.5524999999999998,0.019999999999999962,-0.04500000000000004,5,0.5478468899521531,0.5412679425837321,-0.006578947368421059,-0.014354066985645952,2,5,8,0
2F7A_A,t060,2,8,low_or_equal,low_or_equal,0.3706140350877193,0.3706140350877193,0.35581140350877194,-0.014802631578947373,0.02412280701754385,3,84.5,81.125,-3.375,5.5,3,1.6619694530963898,1.3325326517224312,-0.3294368013739586,-0.24496081471443176,5,11.950361609458923,9.024570226669312,-2.925791382789612,-3.0340843200683594,6,28.375,14.125,-14.25,-7.5,6,12.44517543859649,6.195175438596491,-6.250000000000001,-3.289473684210526,6,0.659,0.9225,0.2635,-0.03700000000000003,4,0.9068875000000001,0.914025,0.007137500000000005,0.00015999999999999348,4,1.91625,1.8587500000000001,-0.05750000000000005,0.0,4,0.5592105263157894,0.5548245614035088,-0.0043859649122807015,-0.004385964912280715,3,5,8,0
2O4T_A,t060,2,8,low_or_equal,low_or_equal,0.35416666666666663,0.35416666666666663,0.2875,-0.06666666666666667,-0.04444444444444445,5,31.875,25.875,-6.0,-4.0,5,1.9579901918768883,0.5093199592083693,-1.448670232668519,-1.302015021443367,6,9.425971865653992,4.542522549629211,-4.88344931602478,-5.036660671234131,7,24.125,16.0,-8.125,-3.0,5,26.805555555555557,17.77777777777778,-9.027777777777777,-3.333333333333334,5,0.82775,0.871,0.043250000000000066,0.06200000000000015,2,0.78058125,0.7809075,0.00032625000000000015,0.006510000000000016,4,1.9625,1.9775,0.014999999999999958,0.0,2,0.38055555555555554,0.3611111111111111,-0.019444444444444438,-0.027777777777777762,1,2,7,1
2VXP_A,t060,1,8,high,not_tier2,0.41984732824427484,0.41984732824427484,0.3702290076335878,-0.04961832061068702,-0.01908396946564886,5,55.0,48.5,-6.5,-2.5,5,1.8498753234744072,1.0504531981423497,-0.7994221253320575,-0.8050628416240215,5,8.073499917984009,7.633430898189545,-0.4400690197944641,-0.21048927307128906,5,22.625,36.875,14.25,15.5,3,17.270992366412216,28.14885496183206,10.877862595419849,11.832061068702288,3,0.837,0.643,-0.19400000000000003,-0.227,5,0.925085,0.93077375,0.00568875000000002,0.007450000000000068,5,1.32625,1.25,-0.07624999999999996,-0.09999999999999998,6,0.517175572519084,0.5276717557251909,0.010496183206106902,0.01526717557251911,5,1,8,0
3CYQ_D,t060,2,8,high,high,0.41382575757575757,0.41382575757575757,0.42897727272727276,0.015151515151515152,0.015151515151515194,3,54.625,56.625,2.0,2.0,3,2.2097694408148527,2.2719838907942176,0.06221444997936487,-0.48851025104522705,4,14.358928918838501,12.424634337425232,-1.934294581413269,-4.754889965057373,5,32.75,20.0,-12.75,-10.0,5,24.810606060606062,15.15151515151515,-9.65909090909091,-7.575757575757576,5,0.67075,1.29,0.6192499999999999,0.11700000000000002,3,0.94003875,0.93237125,-0.00766749999999998,0.009010000000000018,4,1.19125,1.21,0.01875000000000003,-0.12,5,0.4441287878787879,0.46685606060606066,0.022727272727272728,0.015151515151515138,4,5,7,1
3IEZ_B,t060,2,8,low_or_equal,low_or_equal,0.35526315789473684,0.35526315789473684,0.30657894736842106,-0.04868421052631579,-0.0368421052631579,5,33.75,29.125,-4.625,-3.5,5,0.9594672108069062,0.9641915261745453,0.004724315367639065,-0.20518186688423157,5,6.735296905040741,7.765775561332703,1.0304786562919617,-0.19675683975219727,4,2.625,3.625,1.0,0.0,2,2.763157894736842,3.8157894736842106,1.0526315789473686,0.0,2,2.957,2.63825,-0.31874999999999976,0.07300000000000006,3,0.6524575000000001,0.6085037499999999,-0.04395375000000003,-0.04666000000000001,3,2.6100000000000003,2.9225000000000003,0.31249999999999994,0.5249999999999999,3,0.3447368421052631,0.375,0.03026315789473684,0.03684210526315787,6,2,4,4
3Q80_B,t060,2,8,low_or_equal,low_or_equal,0.36754587155963303,0.36754587155963303,0.42029816513761464,0.052752293577981654,0.0779816513761468,2,80.125,91.625,11.5,17.0,2,2.856023743748665,2.2667229771614075,-0.5893007665872574,-0.7527838945388794,7,15.623358845710754,14.399203777313232,-1.224155068397522,0.5035839080810547,3,30.625,32.625,2.0,0.5,4,14.048165137614681,14.96559633027523,0.9174311926605501,0.2293577981651369,4,0.38925,0.4735,0.08425000000000002,0.020000000000000018,3,0.896385,0.8958775000000001,-0.0005074999999999802,-0.003369999999999984,3,1.80625,1.8687500000000001,0.06250000000000011,0.07000000000000006,3,0.6639908256880733,0.6594036697247706,-0.004587155963302739,-0.004587155963302725,3,6,7,1
3TYX_A,t060,2,8,high,low_or_equal,0.3768656716417911,0.3768656716417911,0.4078358208955224,0.030970149253731323,0.04179104477611939,3,126.25,136.625,10.375,14.0,3,1.6571128591895103,1.6535496786236763,-0.0035631805658340454,-0.151866614818573,5,13.853754937648773,11.026867508888245,-2.8268874287605286,-4.37589168548584,6,69.125,50.125,-19.0,-20.5,5,20.634328358208954,14.962686567164177,-5.671641791044776,-6.119402985074626,5,0.357,0.47225,0.11525000000000003,0.055999999999999966,4,0.94287875,0.96709125,0.024212500000000026,0.032835,6,1.7525,1.26875,-0.48374999999999996,-0.55,6,0.5973880597014926,0.6067164179104477,0.00932835820895521,-5.551115123125783e-17,4,5,7,1
4AC2_A,t060,2,8,low_or_equal,low_or_equal,0.3282608695652174,0.3282608695652174,0.33369565217391306,0.005434782608695659,0.05652173913043479,3,37.75,38.375,0.625,6.5,3,1.3573181270621717,1.2169428947381675,-0.14037523232400417,-0.10983222536742687,4,7.604092240333557,7.234180986881256,-0.369911253452301,1.126051902770996,3,23.0,29.875,6.875,9.0,2,20.0,25.97826086956522,5.978260869565217,7.82608695652174,2,0.6432500000000001,0.30374999999999996,-0.33949999999999997,-0.20800000000000005,6,0.9586,0.9606325,0.0020324999999999926,0.0025049999999999795,5,1.00625,1.01125,0.005000000000000032,-0.019999999999999907,4,0.46413043478260874,0.466304347826087,0.002173913043478276,-0.008695652173912993,4,5,8,0
4BT7_A,t060,2,8,low_or_equal,low_or_equal,0.3744703389830509,0.3744703389830509,0.3591101694915254,-0.015360169491525435,-0.023305084745762705,7,88.375,84.75,-3.625,-5.5,7,1.6830003634095192,2.409276619553566,0.7262762561440468,0.65703484416008,3,12.567820429801941,14.974316596984863,2.4064961671829224,3.6455202102661133,2,51.375,70.125,18.75,12.5,4,21.76906779661017,29.71398305084746,7.944915254237287,5.296610169491527,4,0.24575,0.29574999999999996,0.05,-0.06500000000000003,4,0.9717687500000001,0.9806775,0.008908750000000007,0.011724999999999985,5,1.07375,0.84125,-0.2325,-0.4099999999999999,5,0.5683262711864407,0.5635593220338984,-0.004766949152542374,0.0,4,1,8,0
4C9G_A,t060,2,8,high,high,0.4429245283018868,0.4429245283018868,0.4683962264150944,0.02547169811320754,0.04528301886792452,3,117.375,124.125,6.75,12.0,3,3.229931026697159,3.788811683654785,0.5588806569576263,0.6614102125167847,3,15.756776928901672,16.530147433280945,0.7733705043792725,0.7388520240783691,3,150.875,140.375,-10.5,-4.5,5,56.93396226415095,52.971698113207545,-3.9622641509433967,-1.6981132075471699,5,0.07575,0.03375,-0.042,-0.013999999999999999,6,0.8865375,0.90800125,0.021463750000000004,0.02294999999999997,6,2.3537500000000002,2.0700000000000003,-0.28375000000000006,-0.29000000000000004,6,0.6339622641509434,0.6452830188679245,0.01132075471698113,0.013207547169811318,5,5,8,0
4HQ8_E,t060,2,8,low_or_equal,low_or_equal,0.31133177570093457,0.3113317757009346,0.30081775700934577,-0.010514018691588783,-0.014018691588785048,5,66.625,64.375,-2.25,-3.0,5,1.4986020848155022,1.240410204976797,-0.25819187983870506,-0.29017511010169983,4,11.868351221084595,10.644760370254517,-1.2235908508300781,-1.0075931549072266,5,45.625,29.75,-15.875,-16.0,5,21.320093457943926,13.901869158878503,-7.418224299065421,-7.4766355140186915,5,0.38025000000000003,0.59675,0.21649999999999997,0.15200000000000005,3,0.387335,0.395945,0.008609999999999986,0.016704999999999998,4,4.77875,4.633750000000001,-0.1449999999999998,-0.1299999999999999,6,0.5075934579439252,0.516355140186916,0.008761682242990669,0.023364485981308414,6,3,5,3
4ND3_B,t060,2,8,high,high,0.39235015772870663,0.39235015772870663,0.40970031545741326,0.017350157728706628,0.026813880126182965,3,124.375,129.875,5.5,8.5,3,1.792350873351097,1.8802466839551926,0.08789581060409546,0.03410792350769043,4,12.957796692848206,11.562471449375153,-1.395325243473053,-2.5048961639404297,6,124.375,109.5,-14.875,2.0,4,39.23501577287067,34.542586750788644,-4.692429022082018,0.6309148264984259,4,0.16475,0.21799999999999997,0.05324999999999999,0.014000000000000026,1,0.9693624999999999,0.969245,-0.00011749999999997873,0.0001100000000000545,4,1.5187499999999998,1.5125,-0.006249999999999978,0.0050000000000000044,2,0.6313091482649843,0.6273659305993691,-0.003943217665615145,-0.001577287066246047,3,4,8,0
4QYA_A,t060,2,8,low_or_equal,low_or_equal,0.3566810344827586,0.3566810344827586,0.3976293103448276,0.040948275862068964,0.04310344827586207,3,41.375,46.125,4.75,5.0,3,1.7482471019029617,1.5303636137396097,-0.217883488163352,-0.2573459893465042,5,11.46281611919403,9.233704626560211,-2.2291114926338196,-3.3989977836608887,6,30.375,24.375,-6.0,6.5,3,26.185344827586206,21.012931034482754,-5.172413793103448,5.6034482758620685,3,0.6435,0.7610000000000001,0.11750000000000008,0.061,3,0.94076,0.94275625,0.001996249999999991,0.009129999999999971,6,1.10375,1.1212499999999999,0.01750000000000003,0.025000000000000022,3,0.4935344827586207,0.4892241379310345,-0.004310344827586181,-0.025862068965517182,3,5,7,1
4ZIE_A,t060,1,8,low_or_equal,not_tier2,0.36904761904761907,0.36904761904761907,0.37925170068027214,0.010204081632653059,0.023809523809523808,4,54.25,55.75,1.5,3.5,4,1.3009608760476112,2.055688850581646,0.7547279745340347,0.9910858273506165,3,9.414713084697723,12.233265995979309,2.8185529112815857,3.0710830688476562,2,20.375,32.25,11.875,15.5,1,13.860544217687073,21.93877551020408,8.078231292517007,10.54421768707483,1,0.55725,0.247,-0.31025,-0.27399999999999997,7,0.6450275,0.6640725000000001,0.019044999999999992,0.013255000000000017,4,2.33,2.44875,0.11875000000000008,0.030000000000000027,4,0.4379251700680272,0.4056122448979592,-0.03231292517006802,-0.03401360544217688,2,4,7,1
5AL8_A,t060,2,8,high,high,0.4084051724137931,0.4084051724137931,0.34698275862068967,-0.061422413793103446,-0.05603448275862069,5,47.375,40.25,-7.125,-6.5,5,1.523264890536666,1.8083685636520386,0.28510367311537266,0.05364799499511719,4,10.144793570041656,13.466556549072266,3.321762979030609,2.965230941772461,3,23.0,45.625,22.625,22.0,2,19.82758620689655,39.331896551724135,19.504310344827584,18.96551724137931,2,0.69475,0.22425000000000003,-0.4704999999999999,-0.52,7,0.937435,0.9457912500000001,0.008356249999999996,0.004025000000000001,5,1.335,1.1012499999999998,-0.23375,-0.21500000000000002,7,0.5086206896551725,0.5161637931034483,0.007543103448275863,0.021551724137931022,5,3,8,0
5HGJ_A,t060,1,8,high,not_tier2,0.42010309278350516,0.42010309278350516,0.4652061855670103,0.04510309278350516,0.048969072164948474,1,81.5,90.25,8.75,9.5,1,2.910896807909012,2.4078607633709908,-0.5030360445380211,-0.6130298376083374,5,16.913347721099854,14.110883831977844,-2.8024638891220093,-1.607269287109375,6,61.5,58.75,-2.75,-12.5,5,31.70103092783505,30.283505154639172,-1.4175257731958766,-6.443298969072167,5,0.30525,0.36925,0.06400000000000003,-0.02800000000000001,5,0.9773175000000001,0.97642125,-0.0008962500000000151,0.0020000000000000018,6,0.89875,0.955,0.056249999999999994,-0.044999999999999984,5,0.6365979381443299,0.6288659793814433,-0.007731958762886612,-0.005154639175257714,3,7,8,0
5I0L_A,t060,2,8,low_or_equal,low_or_equal,0.3686708860759494,0.36867088607594933,0.38449367088607594,0.015822784810126583,-0.006329113924050639,4,58.25,60.75,2.5,-1.0,4,1.6688032075762749,2.330512348562479,0.6617091409862041,0.8438567519187927,2,8.38977861404419,12.675044476985931,4.285265862941742,5.104878664016724,1,35.5,41.5,6.0,9.5,3,22.468354430379748,26.265822784810126,3.7974683544303782,6.0126582278481,3,0.31725,0.26875,-0.04850000000000001,-0.044999999999999984,5,0.985885,0.9851412500000001,-0.0007437500000000152,4.500000000001725e-05,4,0.5812499999999999,0.5912499999999999,0.010000000000000009,-0.004999999999999949,4,0.7041139240506329,0.7033227848101266,-0.0007911392405063472,-0.0031645569620253333,3,4,8,0
5K69_A,t060,2,8,high,high,0.435,0.43499999999999994,0.4167857142857143,-0.01821428571428571,-0.01999999999999999,5,152.25,145.875,-6.375,-7.0,5,2.3978854417800903,2.707399934530258,0.30951449275016785,0.1959516406059265,3,16.793780088424683,18.377789974212646,1.5840098857879639,0.9624052047729492,2,124.25,148.875,24.625,17.5,3,35.5,42.535714285714285,7.035714285714285,5.000000000000002,3,0.116,0.09249999999999999,-0.02350000000000001,-0.010000000000000037,5,0.96272,0.961455,-0.0012650000000000022,-0.00043999999999994044,3,1.4475,1.47875,0.03125000000000003,0.0050000000000000044,3,0.6339285714285714,0.6371428571428572,0.003214285714285711,-5.551115123125783e-17,4,3,8,0
5X0O_B,t060,2,8,high,high,0.3815104166666667,0.3815104166666667,0.39453125,0.013020833333333336,0.013020833333333343,3,73.25,75.75,2.5,2.5,3,0.9838589578866959,1.8143004439771175,0.8304414860904217,0.6270375847816467,2,5.990275144577026,11.25570434331894,5.265429198741913,6.4809370040893555,1,22.375,27.625,5.25,11.0,3,11.653645833333334,14.388020833333332,2.734374999999999,5.729166666666666,3,0.66975,0.422,-0.24775000000000005,-0.29399999999999993,5,0.88942125,0.869405,-0.020016249999999985,-0.015804999999999958,3,1.94875,2.2024999999999997,0.2537499999999999,0.19000000000000006,2,0.4674479166666667,0.4739583333333333,0.006510416666666657,0.007812499999999972,4,5,6,2
6DNB_A,t060,1,8,high,not_tier2,0.4300486618004866,0.4300486618004866,0.37864963503649635,-0.05139902676399026,-0.03163017031630169,5,176.75,155.625,-21.125,-13.0,5,2.035873234272003,2.1543364971876144,0.11846326291561127,0.04436385631561279,4,15.76227879524231,15.079658389091492,-0.6826204061508179,0.40146636962890625,3,56.625,66.875,10.25,14.5,2,13.777372262773723,16.271289537712896,2.4939172749391734,3.527980535279804,2,0.25675,0.22675,-0.03,-0.03199999999999997,5,0.9659475,0.9651075,-0.0008400000000000074,-0.0008900000000000019,4,1.67625,1.6475,-0.028749999999999942,0.010000000000000009,4,0.6624087591240876,0.6608880778588808,-0.001520681265206797,-0.0048661800486617945,3,2,8,0
6DNT_A,t060,2,8,high,high,0.4080645161290323,0.4080645161290323,0.3959677419354839,-0.01209677419354839,-0.02096774193548387,5,126.5,122.75,-3.75,-6.5,5,1.7701520696282387,1.865066945552826,0.09491487592458725,0.24808946251869202,2,13.114805340766907,14.05479621887207,0.9399908781051636,1.9350666999816895,3,83.75,90.625,6.875,2.0,4,27.016129032258064,29.233870967741932,2.217741935483869,0.645161290322581,4,0.3635,0.3185,-0.045,-0.07100000000000002,4,0.98565125,0.9838575,-0.0017937500000000106,-0.0008249999999999647,3,0.7949999999999999,0.86,0.065,0.08500000000000002,3,0.7165322580645161,0.719758064516129,0.00322580645161287,0.008064516129032251,5,3,8,0
6HGM_A,t060,1,8,high,not_tier2,0.42159090909090907,0.4215909090909091,0.4178030303030303,-0.0037878787878788053,0.013636363636363613,4,139.125,137.875,-1.25,4.5,4,2.2700374871492386,1.9128534644842148,-0.3571840226650238,-0.34889519214630127,7,15.7057204246521,14.085211634635925,-1.6205087900161743,-2.276960849761963,6,76.375,49.5,-26.875,-30.0,6,23.143939393939394,15.0,-8.143939393939394,-9.090909090909093,6,0.186,0.33975,0.15375000000000005,0.17600000000000002,2,0.988085,0.983875,-0.004210000000000019,-0.0022300000000000098,4,0.77375,0.90625,0.1325,0.09499999999999997,4,0.5534090909090909,0.5666666666666667,0.013257575757575787,0.03030303030303033,5,4,8,0
