protein_id,sequence_length,n_static_windows,window_k_min,window_k_max,z_static_mean,z_static_median,z_static_std,z_static_q90,z_static_q95,z_static_q99,z_static_max,z_static_gt0_count,z_static_gt1_count,z_static_gt2_count,tier
4BT7_A,236,3059,12,25,-13.691993672733176,-14.283021926879883,2.2012429357391237,-12.921103477478026,-11.01736927032471,-2.8084652328491075,10.754912376403809,20,17,16,2
4C9G_A,265,3465,12,25,-13.68022120519075,-14.329806327819824,2.4114216346907034,-13.073873519897461,-10.529641532897957,-1.1442817831039154,10.790206909179688,29,27,23,2
4HQ8_E,214,2751,12,25,-14.249768242581201,-14.392149925231934,0.5179212880607376,-13.853852272033691,-13.492187023162842,-12.280666828155518,-5.143686294555664,0,0,0,2
4ND3_B,317,4193,12,25,-14.028405415615204,-14.32936954498291,1.1584923249803745,-13.4435640335083,-12.636776542663574,-8.816346435546876,5.972309589385986,4,4,3,2
4QYA_A,116,1379,12,25,-13.850634676896636,-14.262229919433594,1.3261906710554288,-13.068958473205566,-11.84804496765138,-7.511433305740329,-0.9197728633880615,0,0,0,2
4ZIE_A,147,1813,12,25,-13.84204759501266,-14.297985076904297,1.7044707237382657,-13.13167018890381,-11.871957588195801,-4.7371995162964105,6.886300563812256,7,4,3,1
5AL8_A,116,1379,12,25,-13.876459468958428,-14.274686813354492,1.2898927286416604,-13.138607788085938,-11.96339960098267,-7.973795967102042,-0.9204951524734497,0,0,0,2
5HGJ_A,194,2471,12,25,-13.817062463441005,-14.303838729858398,1.7349359928616825,-13.015569686889648,-11.85417652130127,-5.537818861007579,8.236137390136719,7,5,4,1
5I0L_A,158,1967,12,25,-13.92955653058828,-14.304373741149902,1.2798543113191478,-13.20148754119873,-12.217957782745366,-7.46422745704651,-0.22790902853012085,0,0,0,2
5K69_A,350,4655,12,25,-13.904239955586085,-14.332287788391113,1.6693590474130686,-13.257775688171385,-12.198927497863767,-5.443794651031493,7.6263813972473145,14,14,14,2
5X0O_B,192,2443,12,25,-14.063215505708401,-14.363166809082031,1.0888377059569532,-13.457913589477538,-12.720782184600829,-9.68362783432008,4.471920013427734,3,2,1,2
6DNB_A,411,5509,12,25,-14.16760141266563,-14.395468711853027,0.8009498382239743,-13.635668945312501,-13.123404884338381,-10.520726432800288,-2.6206865310668945,0,0,0,1
6DNT_A,310,4095,12,25,-14.024481817676945,-14.358044624328613,1.2913397861784721,-13.471742820739745,-12.628672027587891,-8.405597610473643,7.340602397918701,3,2,2,2
6HGM_A,330,4375,12,25,-14.066367637811389,-14.371749877929688,1.1767143834599498,-13.51492099761963,-12.723110008239741,-8.755490264892568,3.767395257949829,6,5,3,1
6HJS_B,236,3059,12,25,-14.168711596043448,-14.381034851074219,0.7543443004528874,-13.658234214782714,-13.18382806777954,-10.966983776092526,-2.7352757453918457,0,0,0,2
6K82_B,282,3703,12,25,-13.972659212622872,-14.348793983459473,1.5479386819299323,-13.423391342163086,-12.489377498626709,-7.546900291442871,9.842816352844238,11,11,9,2
6K8P_C,294,3871,12,25,-14.063867442434963,-14.368675231933594,1.3982550694170404,-13.664685249328613,-13.127495288848877,-7.9537297725677485,7.486557483673096,11,8,6,2
6NQK_F,215,2765,12,25,-14.25016766733761,-14.395418167114258,0.6170665950515399,-13.875472831726075,-13.564613342285156,-12.090008277893066,-0.335434228181839,0,0,0,2
6SNK_A,188,2387,12,25,-13.936652153717906,-14.304607391357422,1.4555451076703418,-13.366395950317383,-12.4876070022583,-6.645964937210091,7.181158065795898,4,4,4,1
6TN1_AAA,497,6713,12,25,-14.131898702602708,-14.390098571777344,1.0118951828000695,-13.69311065673828,-13.030405807495118,-9.539005851745605,3.8237407207489014,5,4,4,1
6VJP_B,153,1897,12,25,-13.788668703549023,-14.320907592773438,1.9024876587258936,-12.97138442993164,-11.421618652343755,-3.682168254852302,7.812672138214111,9,7,5,2
6Y76_A,156,1939,12,25,-13.85701959549059,-14.260531425476074,1.4224270630107316,-13.032987213134765,-11.813090896606447,-7.809712848663359,7.383519649505615,3,2,2,1
7D66_J,120,1435,12,25,-14.112563127258513,-14.374963760375977,0.9417900909584193,-13.566859245300293,-12.941081142425539,-9.256418209075909,-2.145024299621582,0,0,0,2
7PFR_F,279,3661,12,25,-14.074431318774456,-14.370152473449707,1.1638532550874947,-13.565796852111816,-12.857564926147461,-9.355386352539059,2.804823160171509,6,4,2,2
7S5C_F,59,581,12,25,-13.815711113343756,-14.203706741333008,1.200344793245819,-12.642691612243652,-11.584948539733887,-8.883202171325665,-4.3966240882873535,0,0,0,2
7W62_A,140,1715,12,25,-14.047753285388557,-14.355399131774902,1.1121090600333265,-13.453341674804687,-12.598490047454835,-8.827654914855977,2.741615056991577,1,1,1,2
8ERB_D,428,5747,12,25,-14.075702350326718,-14.353376388549805,0.9959489133485042,-13.529912757873536,-12.726624298095704,-9.654005489349366,2.429556131362915,2,1,1,2
9END_A,307,4053,12,25,-14.09877566242112,-14.370660781860352,1.1233324728626588,-13.663028526306151,-12.939083671569824,-9.116706428527827,3.719402551651001,3,3,2,2
9GJ9_C,389,5201,12,25,-14.173781631434567,-14.382543563842773,0.9059435988920702,-13.754935264587402,-13.255512237548828,-11.116192817687988,3.8930065631866455,6,4,3,2
9YGK_B,271,3549,12,25,-13.879405980863078,-14.346723556518555,1.9493571476550016,-13.279049682617186,-12.190400886535645,-3.9020548439025937,10.718576431274414,21,16,16,2
